Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa
04507,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PARANÁ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4348,10/2018,PARANÁ,IBOPE
04508,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PERNAMBUCO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4349,08/2018,PERNAMBUCO,IBOPE
04509,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PERNAMBUCO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4350,08/2018,PERNAMBUCO,IBOPE
04510,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PERNAMBUCO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4351,09/2018,PERNAMBUCO,IBOPE
04511,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PERNAMBUCO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4352,09/2018,PERNAMBUCO,IBOPE
04512,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PERNAMBUCO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4353,09/2018,PERNAMBUCO,IBOPE
04513,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PERNAMBUCO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4354,10/2018,PERNAMBUCO,IBOPE
04514,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PIAUÍ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4355,08/2018,PIAUÍ,IBOPE
04515,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PIAUÍ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4356,09/2018,PIAUÍ,IBOPE
04516,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PIAUÍ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4357,10/2018,PIAUÍ,IBOPE
04517,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4359,08/2018,RIO DE JANEIRO/RJ,IBOPE
