Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa,contém_religião,método
197,PRIVATIZAÇÃO DAS ESTATAIS,https://www.cesop.unicamp.br/por/banco_de_dados/v/191,10/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,,
198,VOTO NACIONAL XIII,https://www.cesop.unicamp.br/por/banco_de_dados/v/192,10/1989,BRASIL,IBOPE,,
199,VOTO NACIONAL XIV,https://www.cesop.unicamp.br/por/banco_de_dados/v/439,11/1989,BRASIL,IBOPE,,
200,VOTO NACIONAL XV,https://www.cesop.unicamp.br/por/banco_de_dados/v/440,11/1989,BRASIL,IBOPE,,
201,VOTO NACIONAL XVI,https://www.cesop.unicamp.br/por/banco_de_dados/v/441,11/1989,BRASIL,IBOPE,,
202,VOTO NACIONAL XVII,https://www.cesop.unicamp.br/por/banco_de_dados/v/442,11/1989,BRASIL,IBOPE,,
203,VOTO NACIONAL XVIII,https://www.cesop.unicamp.br/por/banco_de_dados/v/443,11/1989,BRASIL,IBOPE,,
204,VOTO NACIONAL XIX,https://www.cesop.unicamp.br/por/banco_de_dados/v/444,11/1989,BRASIL,IBOPE,,
205,VOTO NACIONAL XX,https://www.cesop.unicamp.br/por/banco_de_dados/v/445,12/1989,BRASIL,IBOPE,,
206,VOTO NACIONAL XXI,https://www.cesop.unicamp.br/por/banco_de_dados/v/446,12/1989,BRASIL,IBOPE,,
207,VOTO NACIONAL XXII,https://www.cesop.unicamp.br/por/banco_de_dados/v/447,12/1989,BRASIL,IBOPE,,
208,VOTO NACIONAL XXIII,https://www.cesop.unicamp.br/por/banco_de_dados/v/448,12/1989,BRASIL,IBOPE,,
209,VOTO NACIONAL XXIV,https://www.cesop.unicamp.br/por/banco_de_dados/v/449,12/1989,BRASIL,IBOPE,,
210,INTENÇÃO DE VOTO PARA PRESIDENTE XVII - CULTURA POLÍTICA II-A - CEDEC,https://www.cesop.unicamp.br/por/banco_de_dados/v/450,12/1989,BRASIL,DATAFOLHA,,
211,INTENÇÃO DE VOTO PARA PRESIDENTE XIX - CULTURA POLÍTICA II-B - CEDEC,https://www.cesop.unicamp.br/por/banco_de_dados/v/451,12/1989,BRASIL,DATAFOLHA,,
212,INTENÇÃO DE VOTO PARA PRESIDENTE XX - CEDEC,https://www.cesop.unicamp.br/por/banco_de_dados/v/452,12/1989,BRASIL,DATAFOLHA,,
213,AVALIAÇÃO PREFEITOS (1 ANO),https://www.cesop.unicamp.br/por/banco_de_dados/v/453,12/1989,CAPITAIS (VÁRIAS),DATAFOLHA,,
214,AVALIAÇÃO COLLOR/ CONFIANÇA NAS INSTITUIÇÕES,https://www.cesop.unicamp.br/por/banco_de_dados/v/454,01/1990,BRASIL,IBOPE,,
215,AVALIAÇÃO SARNEY / EXPECTATIVA COLLOR I,https://www.cesop.unicamp.br/por/banco_de_dados/v/455,01/1990,CAPITAIS (VÁRIAS),DATAFOLHA,,
217,DOAÇÃO DE ÓRGÃOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/456,02/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
218,AVALIAÇÃO DE SERVIÇOS PÚBLICOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/457,02/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
219,AVALIAÇÃO SARNEY / EXPECTATIVA COLLOR II - CULTURA POLÍTICA III - CEDEC,https://www.cesop.unicamp.br/por/banco_de_dados/v/458,03/1990,BRASIL,DATAFOLHA,,
222,PLANO ECONÔMICO COLLOR I (AVALIAÇÃO II),https://www.cesop.unicamp.br/por/banco_de_dados/v/467,03/1990,CAPITAIS (VÁRIAS),DATAFOLHA,,
223,PLANO ECONÔMICO COLLOR I - HÁBITOS DE CONSUMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/468,03/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
224,TV AOS DOMINGOS / TELEJORNAIS / PROGRAMAÇÃO INFANTIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/469,04/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
225,PLANO ECONÔMICO - PLANO COLLOR I (AVALIAÇÃO III),https://www.cesop.unicamp.br/por/banco_de_dados/v/470,04/1990,CAPITAIS (VÁRIAS),DATAFOLHA,,
226,PLANO ECONÔMICO/ AVALIAÇÃO GOVERNO COLLOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/471,05/1990,BRASIL,IBOPE,,
227,APLICAÇÃO FINANCEIRA DOS PAULISTANOS / DOLARIZAÇÃO ECONOMIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/472,05/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
228,PLANO ECONÔMICO - PLANO COLLOR I (AVALIAÇÃO IV - 3 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/473,06/1990,BRASIL,DATAFOLHA,,
229,PLANO ECONÔMICO/ AVALIAÇÃO GOVERNO COLLOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/474,08/1990,BRASIL,IBOPE,,
230,PLANO ECONÔMICO COLLOR I (AVALIAÇÃO VI - 4 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/475,07/1990,CAPITAIS (VÁRIAS),DATAFOLHA,,
231,AVALIAÇÃO DO SERVIÇO DE TÁXI EM SÃO PAULO,https://www.cesop.unicamp.br/por/banco_de_dados/v/507,07/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
232,PLANO ECONÔMICO - COLLOR I (AVALIAÇÃO VII - 5 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/559,08/1990,CAPITAIS (VÁRIAS),DATAFOLHA,,
234,INTENÇÃO DE VOTO GOVERNADOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/560,11/1990,SÃO PAULO/SP,DATAFOLHA,,
235,PLANO ECONÔMICO - COLLOR I (AVALIAÇÃO IX - 8 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/561,11/1990,CAPITAIS (VÁRIAS),DATAFOLHA,,
236,AVALIAÇÃO GOVERNO COLLOR/ CONFIANÇA NAS INSTITUIÇÕES,https://www.cesop.unicamp.br/por/banco_de_dados/v/562,12/1990,BRASIL,IBOPE,,
237,TARIFA ZERO / 13 SALÁRIO,https://www.cesop.unicamp.br/por/banco_de_dados/v/563,12/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
238,EXPECTATIVA GOVERNADORES / PRÉ PRESIDENTE / PROIBIÇÃO DIVULGAÇÃO DE PESQUISA,https://www.cesop.unicamp.br/por/banco_de_dados/v/564,12/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
239,AIDS,https://www.cesop.unicamp.br/por/banco_de_dados/v/565,12/1990,CAPITAIS (VÁRIAS),DATAFOLHA,,
241,AIDS,https://www.cesop.unicamp.br/por/banco_de_dados/v/566,12/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
242,AIDS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2399,12/1990,SÃO PAULO-CAP/SP,DATAFOLHA,,
243,AVALIAÇÃO DO GOVERNO COLLOR (10 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/567,01/1991,CAPITAIS (VÁRIAS),DATAFOLHA,,
244,AVALIAÇÃO DO PREFEITO DE GOIÂNIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/568,01/1991,GOIÂNIA/GO,DATAFOLHA,,
245,GUERRA DO GOLFO / ABORTO,https://www.cesop.unicamp.br/por/banco_de_dados/v/569,01/1991,SÃO PAULO-CAP/SP,DATAFOLHA,,
246,MEMÓRIA DE ELEITOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/570,01/1991,SÃO PAULO-CAP/SP,DATAFOLHA,,
247,AVALIAÇÃO DO PREFEITO DE TERESINA,https://www.cesop.unicamp.br/por/banco_de_dados/v/1556,01/1991,TERESINA/PI,DATAFOLHA,,
248,GOLFO PÉRSICO,https://www.cesop.unicamp.br/por/banco_de_dados/v/1557,02/1991,BRASIL,IBOPE,,
249,PLANO ECONÔMICO/ GUERRA DO GOLFO,https://www.cesop.unicamp.br/por/banco_de_dados/v/1558,02/1991,BRASIL,IBOPE,,
251,PLANO ECONÔMICO - COLLOR II (AVALIAÇÃO - 1 SEMANA),https://www.cesop.unicamp.br/por/banco_de_dados/v/1560,02/1991,CAPITAIS (VÁRIAS),DATAFOLHA,,
252,HÁBITOS SEXUAIS DA CLASSE MÉDIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/1561,02/1991,SÃO PAULO-CAP/SP,DATAFOLHA,,
