IDADE,FX_ID,SEXO,EL01,VP01,VP02,VP03,VP04,VP05,CONF01A,CONF01B,CONF01C,CONF01D,CONF01E,STF01,CN01,CC01A,CC01B,CC01C,CC01D,CC01E,CC01F,TE01,VA01_1,VA01_2,VA01_3,RACA,RELIGIAO,CLASSE,REND1,REND2,ALFABETIZACAO,ESCOLARIDADE,OCUPACAO,REGIAO,TIPO_COLETA,FATOR_POND,DATA_ENTREVISTA,TELEFONE_FIXO,FILTRO1,FILTRO2,ID,Nquest
20.0,2.0,2.0,2.0,1.0,,,,,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,,9.0,4.0,10.0,2.0,1.0,5.0,6.0,5.0,1.0,14.0,2.0,1.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157256853.0,50.0
16.0,1.0,1.0,4.0,4.0,4.0,,,,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,9.0,2.0,99.0,1.0,11.0,4.0,6.0,6.0,1.0,13.0,1.0,3.0,1.0,0.412,2021-09-18,2.0,2.0,,157256887.0,51.0
19.0,2.0,1.0,1.0,4.0,4.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,,2.0,5.0,13.0,1.0,1.0,5.0,98.0,4.0,1.0,15.0,2.0,4.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157257160.0,52.0
23.0,2.0,2.0,2.0,1.0,,,,,3.0,99.0,99.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,,4.0,2.0,5.0,3.0,1.0,4.0,6.0,4.0,1.0,15.0,1.0,4.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157257522.0,53.0
20.0,2.0,2.0,2.0,4.0,4.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,2.0,,9.0,4.0,1.0,2.0,10.0,5.0,6.0,5.0,1.0,14.0,1.0,2.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157257676.0,54.0
16.0,1.0,1.0,2.0,4.0,4.0,,,,3.0,3.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,6.0,8.0,2.0,2.0,99.0,5.0,98.0,6.0,1.0,12.0,2.0,2.0,1.0,0.412,2021-09-18,1.0,2.0,,157257677.0,55.0
19.0,2.0,1.0,4.0,1.0,,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,,9.0,8.0,12.0,3.0,10.0,5.0,6.0,1.0,1.0,13.0,1.0,2.0,1.0,1.216129,2021-09-18,1.0,1.0,1.0,157257682.0,56.0
24.0,2.0,2.0,2.0,99.0,,,,,2.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,5.0,6.0,2.0,1.0,5.0,6.0,4.0,1.0,12.0,1.0,4.0,1.0,1.216129,2021-09-18,1.0,1.0,1.0,157257747.0,57.0
23.0,2.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,,4.0,2.0,1.0,3.0,20.0,5.0,5.0,5.0,1.0,12.0,1.0,4.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157257748.0,58.0
23.0,2.0,2.0,2.0,1.0,,,,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,,2.0,8.0,10.0,2.0,1.0,6.0,6.0,6.0,1.0,14.0,1.0,1.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157258130.0,59.0
17.0,1.0,1.0,2.0,99.0,,,,,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,5.0,3.0,2.0,1.0,3.0,6.0,5.0,1.0,13.0,1.0,3.0,1.0,0.412,2021-09-18,2.0,1.0,1.0,157258347.0,60.0
19.0,2.0,2.0,4.0,4.0,4.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,,12.0,1.0,11.0,3.0,2.0,4.0,98.0,5.0,1.0,14.0,2.0,2.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157258517.0,61.0
30.0,3.0,2.0,2.0,3.0,,,,2.0,99.0,99.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,,2.0,5.0,14.0,3.0,1.0,4.0,6.0,4.0,1.0,15.0,1.0,2.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157258701.0,62.0
22.0,2.0,2.0,2.0,1.0,,,,,3.0,3.0,99.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,99.0,,1.0,2.0,4.0,2.0,1.0,5.0,98.0,5.0,1.0,14.0,2.0,4.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157258731.0,63.0
34.0,3.0,2.0,1.0,2.0,,2.0,,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,,2.0,5.0,9.0,1.0,4.0,3.0,5.0,5.0,1.0,14.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157258956.0,64.0
28.0,3.0,2.0,4.0,3.0,,,,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,99.0,99.0,99.0,99.0,99.0,3.0,,1.0,5.0,2.0,3.0,10.0,3.0,98.0,6.0,1.0,11.0,2.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157259270.0,65.0
21.0,2.0,1.0,3.0,3.0,,,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,2.0,4.0,10.0,2.0,2.0,3.0,6.0,4.0,1.0,7.0,1.0,3.0,1.0,1.216129,2021-09-18,1.0,1.0,1.0,157259375.0,66.0
20.0,2.0,2.0,2.0,4.0,3.0,,,,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,,15.0,1.0,11.0,1.0,11.0,3.0,98.0,5.0,1.0,14.0,2.0,3.0,1.0,1.216129,2021-09-18,1.0,1.0,1.0,157259495.0,67.0
34.0,3.0,2.0,3.0,2.0,,1.0,8.0,,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,9.0,14.0,4.0,1.0,19.0,3.0,5.0,3.0,1.0,16.0,1.0,4.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157259542.0,68.0
28.0,3.0,2.0,2.0,3.0,,,,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,2.0,5.0,7.0,2.0,1.0,5.0,5.0,5.0,1.0,14.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157260028.0,69.0
25.0,3.0,2.0,4.0,2.0,,1.0,2.0,,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,,2.0,7.0,5.0,3.0,1.0,6.0,6.0,6.0,1.0,11.0,2.0,1.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157260292.0,70.0
24.0,2.0,2.0,1.0,2.0,,2.0,,,2.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,99.0,99.0,99.0,,2.0,5.0,7.0,2.0,2.0,6.0,6.0,6.0,1.0,14.0,1.0,3.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157260498.0,71.0
20.0,2.0,1.0,2.0,1.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,99.0,99.0,,1.0,7.0,2.0,2.0,19.0,5.0,6.0,5.0,1.0,14.0,2.0,3.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157260499.0,72.0
30.0,3.0,2.0,1.0,2.0,,2.0,,,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,,2.0,5.0,4.0,3.0,19.0,5.0,6.0,5.0,1.0,14.0,2.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157260500.0,73.0
29.0,3.0,1.0,4.0,2.0,,2.0,,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,,2.0,6.0,11.0,1.0,19.0,3.0,3.0,3.0,1.0,13.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157260501.0,74.0
26.0,3.0,1.0,1.0,2.0,,2.0,,,3.0,3.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,,97.0,,,3.0,11.0,5.0,5.0,5.0,1.0,13.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157260502.0,75.0
26.0,3.0,1.0,3.0,3.0,,,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,,2.0,9.0,10.0,1.0,11.0,4.0,5.0,4.0,1.0,14.0,2.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157260503.0,76.0
17.0,1.0,2.0,2.0,4.0,4.0,,,,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,,10.0,11.0,2.0,2.0,20.0,4.0,6.0,5.0,1.0,13.0,2.0,3.0,1.0,0.412,2021-09-18,1.0,1.0,1.0,157260597.0,77.0
17.0,1.0,1.0,1.0,4.0,4.0,,,,2.0,3.0,99.0,99.0,99.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,5.0,98.0,5.0,1.0,11.0,2.0,4.0,1.0,0.412,2021-09-18,2.0,2.0,,157260625.0,78.0
