IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE_SOCIAL,P1A,P1B,P1C,P1D,P1E,P1F,P1G,P1H,P2_1,P2_2,p2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P4_1,P4_2,p4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,RACA,RELIGIAO,RENDA1,RENDA2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND,ID
46.0,4.0,2.0,11.0,2.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,9.0,5.0,,1.0,4.0,5.0,,,,,2.0,,,99.0,1.0,1.0,1.0,4.0,99.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,1.0,2.0,1.0,1.0,11.0,98.0,5.0,5.0,4.0,2.0,2.141824632554552,155637204.0
38.0,3.0,2.0,16.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,2.0,7.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,6.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,99.0,,,1.0,1.0,1.0,1.0,1.0,15.0,98.0,5.0,6.0,4.0,2.0,0.9379613359671443,155637668.0
45.0,4.0,2.0,14.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,4.0,6.0,7.0,,,,,4.0,6.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,20.0,98.0,6.0,7.0,4.0,2.0,1.1101974444692708,155639440.0
37.0,3.0,2.0,16.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,5.0,2.0,1.0,6.0,7.0,,,,,4.0,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,99.0,99.0,5.0,4.0,2.0,1.0256361743082092,155641909.0
38.0,3.0,2.0,15.0,1.0,4.0,1.0,2.0,99.0,2.0,99.0,2.0,1.0,99.0,2.0,,,1.0,2.0,3.0,4.0,5.0,,,2.0,,,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,16.0,5.0,5.0,4.0,4.0,2.0,0.7094509341590959,155642511.0
56.0,5.0,1.0,14.0,1.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,99.0,,,99.0,2.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,99.0,99.0,3.0,19.0,5.0,4.0,7.0,4.0,2.0,0.9956046169947705,155642995.0
28.0,2.0,2.0,15.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,7.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,99.0,1.0,1.0,6.0,3.0,2.0,1.0,99.0,1.0,99.0,1.0,19.0,98.0,4.0,4.0,4.0,2.0,0.3360077823964946,155643808.0
38.0,3.0,2.0,16.0,1.0,4.0,99.0,1.0,99.0,1.0,99.0,1.0,99.0,2.0,2.0,9.0,8.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,4.0,6.0,99.0,4.0,2.0,1.0,4.0,2.0,99.0,2.0,2.0,7.0,99.0,,99.0,99.0,99.0,99.0,3.0,1.0,5.0,5.0,5.0,4.0,2.0,1.0256361743082092,155644052.0
56.0,5.0,1.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,1.0,6.0,,,,,,,6.0,3.0,,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,1.0,1.0,1.0,4.0,2.0,0.13791300353677502,155644527.0
48.0,4.0,2.0,15.0,1.0,4.0,99.0,2.0,2.0,2.0,99.0,2.0,99.0,99.0,5.0,4.0,,1.0,,,,,,,2.0,,,2.0,2.0,4.0,3.0,2.0,99.0,4.0,3.0,2.0,99.0,,,2.0,2.0,2.0,2.0,1.0,6.0,5.0,4.0,6.0,4.0,2.0,0.8316493529457423,155645688.0
31.0,2.0,2.0,14.0,1.0,4.0,2.0,99.0,99.0,2.0,1.0,1.0,99.0,1.0,7.0,9.0,8.0,1.0,3.0,,,,,,5.0,4.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,3.0,99.0,99.0,99.0,99.0,3.0,10.0,99.0,99.0,3.0,4.0,2.0,0.5308219805243954,155645733.0
50.0,4.0,1.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,7.0,1.0,3.0,6.0,,,,,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,7.0,3.0,3.0,1.0,3.0,1.0,15.0,4.0,4.0,4.0,4.0,2.0,0.5971392129776714,155645844.0
51.0,4.0,1.0,15.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,2.0,99.0,,,2.0,7.0,,,,,,99.0,,,3.0,99.0,99.0,99.0,2.0,3.0,2.0,4.0,3.0,3.0,99.0,,99.0,99.0,99.0,99.0,3.0,99.0,4.0,3.0,2.0,4.0,1.0,0.4166049863669091,155646093.0
