IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P4,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P6_1,P6_2,P6_3,RACA_COR,RELIGIAO,RENDA1,RENDA2,REGIAO,FATOR_POND,ID,TIPO_COLETA,AMOSTRA
48.0,4.0,1.0,14.0,1.0,4.0,5.0,2.0,7.0,1.0,3.0,5.0,2.0,,,,,,,,1.0,4.0,7.0,2.0,15.0,4.0,4.0,1.0,0.14,178037713.0,4.0,2.0
39.0,3.0,2.0,16.0,2.0,4.0,96.0,,,,,,,7.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,,1.0,2.0,99.0,99.0,8.0,0.57,178037892.0,4.0,1.0
53.0,4.0,2.0,14.0,1.0,4.0,3.0,2.0,8.0,6.0,12.0,5.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,99.0,,,1.0,19.0,5.0,5.0,2.0,0.45,178038048.0,4.0,2.0
30.0,2.0,2.0,14.0,2.0,4.0,5.0,7.0,4.0,3.0,8.0,,,4.0,97.0,97.0,1.0,1.0,97.0,1.0,3.0,4.0,,2.0,1.0,6.0,6.0,3.0,0.4,178038123.0,4.0,2.0
25.0,2.0,1.0,16.0,1.0,4.0,3.0,4.0,10.0,2.0,8.0,12.0,3.0,,,,,,,,3.0,1.0,7.0,2.0,2.0,4.0,4.0,5.0,1.31,178038221.0,4.0,2.0
35.0,3.0,1.0,16.0,1.0,4.0,5.0,9.0,4.0,2.0,1.0,3.0,5.0,,,,,,,,7.0,3.0,9.0,1.0,20.0,99.0,99.0,3.0,0.46,178038863.0,4.0,1.0
31.0,2.0,2.0,16.0,1.0,4.0,97.0,,,,,,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,9.0,3.0,1.0,15.0,2.0,2.0,2.0,0.49,178038976.0,4.0,2.0
49.0,4.0,1.0,14.0,1.0,4.0,5.0,3.0,11.0,9.0,12.0,8.0,5.0,,,,,,,,6.0,10.0,2.0,1.0,19.0,99.0,99.0,1.0,0.14,178039110.0,4.0,2.0
38.0,3.0,2.0,16.0,1.0,4.0,3.0,7.0,3.0,2.0,12.0,,,3.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,9.0,4.0,19.0,3.0,3.0,2.0,0.76,178039150.0,4.0,2.0
41.0,3.0,2.0,16.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,10.0,12.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,10.0,7.0,3.0,19.0,2.0,1.0,2.0,0.76,178040193.0,4.0,2.0
62.0,5.0,2.0,15.0,2.0,4.0,3.0,7.0,9.0,13.0,8.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,7.0,2.0,6.0,3.0,11.0,6.0,4.0,2.0,1.31,178040391.0,4.0,2.0
56.0,4.0,2.0,14.0,1.0,4.0,5.0,9.0,6.0,10.0,8.0,12.0,13.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,9.0,6.0,4.0,1.0,1.0,5.0,5.0,2.0,0.45,178040934.0,4.0,1.0
39.0,3.0,2.0,14.0,2.0,4.0,5.0,9.0,11.0,7.0,8.0,1.0,6.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,7.0,6.0,1.0,99.0,98.0,4.0,2.0,0.52,178041221.0,4.0,2.0
43.0,3.0,1.0,14.0,1.0,4.0,97.0,,,,,,,,,,,,,,97.0,,,1.0,1.0,5.0,5.0,5.0,1.08,178041407.0,4.0,2.0
39.0,3.0,1.0,14.0,1.0,4.0,5.0,7.0,,,5.0,8.0,12.0,,,,,,,,99.0,,,1.0,99.0,5.0,4.0,4.0,1.79,178041788.0,4.0,2.0
41.0,3.0,2.0,15.0,1.0,4.0,97.0,,,,,,,3.0,1.0,2.0,1.0,1.0,1.0,2.0,9.0,6.0,2.0,1.0,19.0,5.0,5.0,2.0,0.76,178042187.0,4.0,2.0
18.0,1.0,1.0,13.0,2.0,4.0,3.0,7.0,2.0,1.0,12.0,8.0,3.0,,,,,,,,10.0,2.0,1.0,2.0,20.0,99.0,99.0,7.0,2.11,178042631.0,4.0,2.0
57.0,4.0,1.0,16.0,1.0,4.0,5.0,10.0,12.0,9.0,13.0,5.0,4.0,,,,,,,,7.0,10.0,2.0,1.0,15.0,4.0,4.0,1.0,0.12,178042791.0,4.0,2.0
49.0,4.0,1.0,14.0,1.0,4.0,3.0,13.0,7.0,2.0,12.0,3.0,8.0,,,,,,,,6.0,3.0,10.0,3.0,11.0,5.0,5.0,5.0,1.44,178043169.0,4.0,2.0
28.0,2.0,2.0,14.0,1.0,4.0,5.0,6.0,10.0,4.0,8.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,7.0,10.0,2.0,1.0,2.0,5.0,4.0,8.0,0.74,178043236.0,4.0,2.0
24.0,1.0,2.0,14.0,2.0,4.0,5.0,2.0,9.0,7.0,5.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,7.0,3.0,3.0,1.0,6.0,5.0,6.0,0.45,178043875.0,4.0,1.0
49.0,4.0,2.0,16.0,1.0,4.0,97.0,,,,,,,99.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,6.0,2.0,3.0,15.0,5.0,4.0,3.0,0.78,178044582.0,4.0,2.0
24.0,1.0,2.0,16.0,1.0,4.0,5.0,99.0,,,99.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,1.0,99.0,6.0,6.0,7.0,0.86,178044718.0,4.0,1.0
54.0,4.0,2.0,14.0,1.0,4.0,97.0,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,4.0,5.0,1.0,15.0,6.0,6.0,8.0,0.65,178044985.0,4.0,2.0
68.0,5.0,2.0,16.0,1.0,4.0,4.0,2.0,7.0,3.0,3.0,7.0,8.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0,10.0,9.0,1.0,2.0,5.0,3.0,3.0,1.18,178045898.0,4.0,2.0
32.0,2.0,1.0,16.0,1.0,4.0,5.0,99.0,,,99.0,,,,,,,,,,99.0,,,1.0,18.0,3.0,3.0,5.0,1.31,178046457.0,4.0,2.0
58.0,4.0,2.0,14.0,2.0,4.0,5.0,7.0,11.0,2.0,5.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,5.0,2.0,3.0,1.0,5.0,5.0,3.0,0.58,178047089.0,4.0,2.0
26.0,2.0,1.0,15.0,1.0,4.0,3.0,2.0,7.0,12.0,1.0,3.0,,,,,,,,,4.0,3.0,9.0,3.0,20.0,6.0,4.0,5.0,1.31,178048168.0,4.0,2.0
47.0,4.0,1.0,14.0,1.0,4.0,3.0,7.0,2.0,13.0,12.0,8.0,1.0,,,,,,,,6.0,1.0,2.0,1.0,1.0,4.0,4.0,5.0,1.44,178048472.0,4.0,2.0
45.0,4.0,2.0,12.0,2.0,4.0,3.0,1.0,3.0,13.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,6.0,,1.0,99.0,99.0,99.0,3.0,0.58,178048555.0,4.0,1.0
29.0,2.0,1.0,12.0,1.0,4.0,2.0,10.0,13.0,5.0,8.0,12.0,3.0,,,,,,,,8.0,6.0,3.0,1.0,1.0,6.0,6.0,3.0,1.33,178048864.0,4.0,1.0
32.0,2.0,1.0,15.0,1.0,4.0,3.0,7.0,2.0,1.0,8.0,4.0,5.0,,,,,,,,10.0,7.0,9.0,1.0,11.0,5.0,4.0,2.0,0.42,178048902.0,4.0,2.0
46.0,4.0,2.0,16.0,1.0,4.0,5.0,12.0,9.0,2.0,4.0,6.0,8.0,99.0,1.0,97.0,97.0,97.0,97.0,97.0,6.0,7.0,2.0,1.0,1.0,5.0,5.0,3.0,0.78,178049287.0,4.0,2.0
55.0,4.0,2.0,14.0,2.0,4.0,3.0,7.0,3.0,12.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,10.0,6.0,1.0,15.0,4.0,4.0,8.0,0.6,178050152.0,4.0,2.0
34.0,2.0,1.0,15.0,2.0,4.0,96.0,,,,,,,,,,,,,,99.0,,,1.0,99.0,98.0,99.0,5.0,1.42,178050444.0,4.0,1.0
18.0,1.0,1.0,14.0,1.0,4.0,5.0,3.0,7.0,2.0,7.0,5.0,1.0,,,,,,,,6.0,10.0,4.0,3.0,99.0,6.0,5.0,5.0,1.82,178051112.0,4.0,2.0
26.0,2.0,1.0,16.0,1.0,4.0,4.0,2.0,7.0,1.0,8.0,3.0,,,,,,,,,99.0,,,2.0,9.0,2.0,1.0,5.0,1.31,178051174.0,4.0,1.0
