IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P4F,P4G,P4H,P5_1,P5_2,P5_3,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P6_11,P6_12,P6_13,P6_98,P7,P8_1,P8_2,P8_3,P_ORIENT,P_IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND
27.0,1.0,15.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,3.0,5.0,1.0,2.0,3.0,8.0,9.0,10.0,,,,,,,,,3.0,2.0,3.0,1.0,2.0,2.0,1.0,19.0,6.0,6.0,1.0,4.0,2.0,0.3839598613791353
43.0,2.0,14.0,2.0,4.0,5.0,99.0,3.0,4.0,2.0,99.0,2.0,2.0,4.0,4.0,2.0,6.0,2.0,1.0,99.0,,,,,,,,,,,,,,3.0,1.0,,,1.0,1.0,1.0,19.0,99.0,99.0,5.0,4.0,2.0,1.016196556259727
45.0,2.0,14.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,9.0,11.0,2.0,1.0,10.0,,,,,,,,,,,,,3.0,2.0,3.0,1.0,1.0,1.0,1.0,19.0,98.0,6.0,5.0,4.0,2.0,1.6813353717024757
62.0,1.0,16.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,8.0,3.0,4.0,10.0,,,,,,,,,,,,1.0,1.0,5.0,6.0,1.0,2.0,1.0,19.0,6.0,4.0,5.0,4.0,2.0,1.458909497341315
63.0,1.0,15.0,2.0,4.0,5.0,99.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,6.0,3.0,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,1.0,19.0,6.0,6.0,7.0,4.0,2.0,1.2605351544017587
59.0,1.0,16.0,1.0,1.0,8.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,11.0,97.0,,,,,,,,,,,,,,3.0,5.0,4.0,2.0,1.0,2.0,1.0,19.0,4.0,4.0,1.0,4.0,2.0,0.21372595453544366
34.0,1.0,15.0,1.0,4.0,10.0,99.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,8.0,,97.0,,,,,,,,,,,,,,3.0,2.0,,,1.0,2.0,1.0,19.0,5.0,4.0,3.0,4.0,2.0,0.953781266702386
30.0,1.0,15.0,2.0,4.0,10.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,10.0,2.0,1.0,4.0,10.0,11.0,,,,,,,,,,,3.0,2.0,1.0,4.0,1.0,2.0,1.0,19.0,98.0,6.0,4.0,4.0,2.0,2.1247235228091785
67.0,2.0,16.0,1.0,1.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,6.0,1.0,3.0,5.0,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,19.0,2.0,2.0,8.0,4.0,2.0,0.9492194674063523
66.0,2.0,14.0,2.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,2.0,5.0,7.0,8.0,10.0,,,,,,,,,3.0,1.0,2.0,4.0,1.0,1.0,1.0,19.0,5.0,5.0,3.0,4.0,2.0,0.7772961480915227
37.0,2.0,16.0,1.0,5.0,8.0,99.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,6.0,97.0,,,,,,,,,,,,,,99.0,1.0,6.0,2.0,1.0,1.0,1.0,19.0,5.0,5.0,7.0,4.0,2.0,0.8010586433013691
49.0,2.0,14.0,2.0,3.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,6.0,1.0,5.0,,,,,,,,,,,,,1.0,6.0,2.0,3.0,1.0,1.0,1.0,19.0,6.0,4.0,1.0,4.0,2.0,0.44334688620808604
32.0,1.0,16.0,1.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,3.0,7.0,5.0,8.0,13.0,,,,,,,,,,,,3.0,1.0,3.0,2.0,1.0,2.0,1.0,19.0,3.0,3.0,6.0,4.0,2.0,0.8567807037176491
24.0,2.0,15.0,1.0,5.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,6.0,10.0,,,,,,,,,,,,,,99.0,2.0,6.0,3.0,1.0,1.0,1.0,19.0,6.0,5.0,4.0,4.0,2.0,1.0505042725395373
69.0,2.0,16.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,11.0,6.0,1.0,3.0,5.0,,,,,,,,,,,,3.0,4.0,1.0,3.0,1.0,1.0,1.0,19.0,99.0,99.0,6.0,4.0,2.0,1.6453452655807157
47.0,2.0,14.0,1.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,1.0,5.0,3.0,5.0,7.0,,,,,,,,,,,,99.0,4.0,6.0,1.0,1.0,1.0,1.0,19.0,6.0,6.0,6.0,4.0,2.0,1.190690123131514
53.0,1.0,16.0,1.0,2.0,9.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,9.0,2.0,6.0,97.0,,,,,,,,,,,,,,3.0,4.0,1.0,6.0,1.0,2.0,1.0,19.0,4.0,4.0,4.0,4.0,2.0,1.6357868926939643
31.0,2.0,16.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,11.0,2.0,6.0,2.0,3.0,11.0,,,,,,,,,,,,99.0,4.0,5.0,1.0,1.0,1.0,1.0,19.0,5.0,99.0,6.0,4.0,2.0,1.7552666344966075
26.0,2.0,14.0,2.0,5.0,5.0,99.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,11.0,6.0,9.0,97.0,,,,,,,,,,,,,,3.0,1.0,2.0,3.0,1.0,1.0,1.0,19.0,98.0,6.0,4.0,4.0,2.0,0.6982870676109456
60.0,1.0,16.0,1.0,1.0,10.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,,,96.0,,,,,,,,,,,,,,3.0,97.0,,,1.0,2.0,1.0,19.0,2.0,1.0,8.0,4.0,2.0,1.0030687900697501
29.0,2.0,14.0,2.0,6.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,4.0,,,,,,,,,,,,,,99.0,97.0,,,1.0,1.0,1.0,19.0,98.0,99.0,7.0,4.0,2.0,0.8433613940270227
35.0,2.0,16.0,2.0,5.0,99.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,1.0,4.0,1.0,,,,,,,,,,,,,,99.0,1.0,6.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,2.0,0.8867485941365496
37.0,2.0,14.0,1.0,5.0,5.0,2.0,2.0,2.0,4.0,99.0,99.0,4.0,4.0,4.0,4.0,2.0,6.0,1.0,1.0,3.0,,,,,,,,,,,,,3.0,1.0,3.0,2.0,1.0,1.0,1.0,19.0,99.0,99.0,8.0,4.0,2.0,0.8404079360352142
33.0,2.0,14.0,2.0,4.0,7.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,19.0,98.0,4.0,8.0,4.0,2.0,0.7043037983362149
38.0,2.0,14.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,2.0,4.0,10.0,,,,,,,,,,,,,3.0,2.0,3.0,5.0,1.0,1.0,1.0,19.0,6.0,5.0,7.0,4.0,2.0,0.6980584804001789
57.0,1.0,16.0,1.0,2.0,7.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,97.0,,,3.0,,,,,,,,,,,,,,3.0,97.0,,,1.0,2.0,1.0,19.0,4.0,99.0,3.0,4.0,2.0,0.7204968339533161
21.0,2.0,6.0,2.0,4.0,5.0,2.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,8.0,1.0,5.0,1.0,2.0,3.0,5.0,7.0,9.0,10.0,,,,,,,,3.0,2.0,6.0,3.0,1.0,1.0,1.0,19.0,98.0,4.0,1.0,4.0,2.0,0.10856746200047175
50.0,2.0,16.0,1.0,4.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,5.0,6.0,8.0,,,,,,,,,,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,19.0,2.0,1.0,6.0,4.0,2.0,1.2882477427601142
28.0,1.0,14.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,6.0,2.0,1.0,1.0,,,,,,,,,,,,,,3.0,1.0,3.0,5.0,1.0,2.0,1.0,19.0,5.0,5.0,4.0,4.0,2.0,3.1278921698856355
32.0,2.0,16.0,2.0,5.0,10.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,2.0,3.0,1.0,2.0,5.0,7.0,9.0,10.0,,,,,,,,,3.0,2.0,1.0,5.0,1.0,1.0,1.0,19.0,99.0,99.0,5.0,4.0,2.0,1.5660761107436405
40.0,1.0,14.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,8.0,10.0,6.0,3.0,6.0,7.0,,,,,,,,,,,,3.0,2.0,6.0,5.0,1.0,2.0,1.0,19.0,4.0,2.0,4.0,4.0,2.0,2.092106583484462
26.0,1.0,15.0,1.0,4.0,10.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,11.0,8.0,3.0,,,,,,,,,,,,,,1.0,6.0,2.0,3.0,1.0,2.0,1.0,19.0,5.0,4.0,6.0,4.0,2.0,0.8932191292350172
39.0,1.0,14.0,2.0,5.0,5.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,4.0,3.0,1.0,,99.0,,,,,,,,,,,,,,99.0,97.0,,,1.0,2.0,1.0,19.0,98.0,6.0,5.0,4.0,2.0,2.367390264469123
25.0,1.0,15.0,1.0,4.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,5.0,3.0,3.0,5.0,7.0,13.0,,,,,,,,,,,3.0,5.0,6.0,3.0,1.0,2.0,1.0,19.0,99.0,5.0,7.0,4.0,2.0,2.1633300131057704
25.0,1.0,14.0,1.0,3.0,8.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,6.0,3.0,97.0,,,,,,,,,,,,,,3.0,2.0,,,1.0,2.0,1.0,19.0,5.0,4.0,5.0,4.0,2.0,1.5188755971922665
34.0,2.0,16.0,1.0,4.0,6.0,99.0,99.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,2.0,3.0,1.0,3.0,11.0,,,,,,,,,,,,99.0,2.0,1.0,6.0,1.0,1.0,1.0,19.0,5.0,99.0,8.0,4.0,2.0,0.6321944840785221
29.0,1.0,15.0,1.0,4.0,5.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,8.0,10.0,1.0,2.0,3.0,,,,,,,,,,,,3.0,6.0,4.0,2.0,1.0,2.0,1.0,19.0,2.0,1.0,6.0,4.0,2.0,0.8932191292350172
32.0,2.0,16.0,1.0,2.0,10.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,2.0,8.0,1.0,3.0,11.0,,,,,,,,,,,,1.0,1.0,6.0,3.0,1.0,1.0,1.0,19.0,4.0,3.0,8.0,4.0,2.0,0.6064044277904146
59.0,1.0,16.0,1.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,97.0,,,1.0,2.0,1.0,19.0,99.0,99.0,2.0,4.0,2.0,0.39008722239582194
25.0,2.0,14.0,2.0,5.0,5.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,6.0,5.0,1.0,3.0,5.0,10.0,,,,,,,,,,,3.0,1.0,2.0,6.0,1.0,1.0,1.0,19.0,98.0,6.0,3.0,4.0,2.0,0.42080596488099514
52.0,1.0,16.0,1.0,3.0,5.0,99.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,10.0,3.0,3.0,,,,,,,,,,,,,,99.0,2.0,1.0,5.0,1.0,2.0,1.0,19.0,4.0,4.0,6.0,4.0,2.0,0.5039876518261959
21.0,2.0,14.0,2.0,4.0,10.0,99.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,9.0,10.0,10.0,,,,,,,,,,,,,,3.0,2.0,1.0,4.0,1.0,1.0,1.0,19.0,98.0,6.0,7.0,4.0,2.0,1.1239352561790434
68.0,2.0,14.0,2.0,3.0,8.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,10.0,1.0,1.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,19.0,6.0,4.0,3.0,4.0,2.0,0.8507490145979542
51.0,2.0,16.0,1.0,3.0,5.0,99.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,19.0,4.0,4.0,1.0,4.0,2.0,0.24032897758045202
23.0,2.0,15.0,2.0,3.0,5.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,7.0,2.0,4.0,4.0,5.0,13.0,,,,,,,,,,,,2.0,6.0,2.0,5.0,1.0,1.0,1.0,19.0,4.0,1.0,1.0,4.0,2.0,0.08666228138217144
28.0,2.0,16.0,1.0,2.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,1.0,1.0,2.0,5.0,9.0,10.0,,,,,,,,,,1.0,5.0,2.0,4.0,1.0,1.0,1.0,19.0,3.0,2.0,1.0,4.0,2.0,0.17434562397403658
21.0,2.0,16.0,2.0,4.0,10.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,8.0,10.0,6.0,1.0,3.0,5.0,7.0,9.0,10.0,,,,,,,,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,19.0,98.0,4.0,1.0,4.0,2.0,0.09034798190227777
36.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,5.0,,,,,,,,,,,,,,3.0,1.0,5.0,,1.0,1.0,1.0,19.0,99.0,99.0,7.0,4.0,2.0,1.5363312342066116
37.0,2.0,16.0,1.0,4.0,10.0,99.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,19.0,5.0,4.0,1.0,4.0,2.0,0.22581175556024197
45.0,1.0,14.0,1.0,2.0,9.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,10.0,97.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,2.0,1.0,19.0,4.0,4.0,5.0,4.0,2.0,1.6602254983295985
18.0,2.0,14.0,2.0,3.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,5.0,1.0,97.0,,,,,,,,,,,,,,3.0,3.0,6.0,1.0,1.0,1.0,1.0,19.0,98.0,99.0,3.0,4.0,2.0,0.38609151439545036
56.0,2.0,14.0,1.0,5.0,10.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,10.0,3.0,9.0,7.0,,,,,,,,,,,,,,3.0,97.0,,,1.0,1.0,1.0,19.0,99.0,99.0,2.0,4.0,2.0,1.9351236702708894
25.0,2.0,14.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,6.0,2.0,5.0,1.0,2.0,3.0,,,,,,,,,,,,3.0,2.0,6.0,4.0,5.0,1.0,3.0,18.0,98.0,5.0,4.0,4.0,2.0,1.1006113741505328
34.0,2.0,16.0,2.0,6.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,4.0,99.0,,,5.0,7.0,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,3.0,18.0,98.0,5.0,4.0,4.0,2.0,0.8027233522802651
25.0,2.0,14.0,1.0,4.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,11.0,1.0,2.0,3.0,4.0,10.0,,,,,,,,,,3.0,3.0,2.0,1.0,1.0,1.0,3.0,18.0,98.0,5.0,3.0,4.0,2.0,0.49826966996160305
17.0,1.0,11.0,2.0,5.0,99.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,5.0,7.0,,,,,,,,,,,,,1.0,99.0,,,1.0,2.0,3.0,18.0,98.0,5.0,7.0,4.0,1.0,0.8988941769517269
47.0,2.0,14.0,1.0,3.0,6.0,99.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,6.0,3.0,,,,,,,,,,,,,,3.0,2.0,4.0,1.0,1.0,1.0,2.0,18.0,99.0,4.0,5.0,4.0,2.0,1.3101118176715782
21.0,2.0,15.0,1.0,3.0,10.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,,,10.0,,,,,,,,,,,,,,3.0,97.0,,,99.0,99.0,1.0,18.0,99.0,99.0,8.0,4.0,2.0,0.5979773093827703
21.0,2.0,12.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,10.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,10.0,11.0,,,,,,,3.0,5.0,1.0,2.0,3.0,1.0,1.0,18.0,99.0,99.0,5.0,4.0,2.0,0.7327386446272511
44.0,1.0,16.0,2.0,3.0,7.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,2.0,5.0,6.0,1.0,2.0,,,,,,,,,,,,,3.0,2.0,3.0,6.0,2.0,2.0,1.0,18.0,98.0,5.0,4.0,4.0,2.0,1.3631577614645485
36.0,1.0,16.0,1.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,5.0,1.0,4.0,5.0,8.0,,,,,,,,,,,1.0,5.0,4.0,2.0,2.0,2.0,1.0,18.0,6.0,6.0,8.0,4.0,2.0,0.8150472140067643
61.0,1.0,16.0,1.0,2.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,10.0,11.0,97.0,,,,,,,,,,,,,,3.0,1.0,2.0,6.0,1.0,2.0,1.0,18.0,3.0,3.0,8.0,4.0,2.0,0.8609419020027168
45.0,2.0,15.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,10.0,6.0,3.0,,,,,,,,,,,,,,99.0,6.0,1.0,2.0,1.0,1.0,1.0,18.0,99.0,99.0,3.0,4.0,2.0,1.1633542532318344
60.0,1.0,15.0,1.0,1.0,10.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,1.0,18.0,2.0,2.0,8.0,4.0,2.0,1.0030687900697501
28.0,1.0,14.0,1.0,4.0,2.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,1.0,18.0,99.0,99.0,5.0,4.0,2.0,1.583472564745674
66.0,2.0,16.0,1.0,2.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,1.0,3.0,4.0,5.0,10.0,,,,,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,18.0,99.0,99.0,8.0,4.0,2.0,0.8147226010591
38.0,1.0,14.0,1.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,,,97.0,,,,,,,,,,,,,,1.0,99.0,,,1.0,2.0,1.0,18.0,6.0,6.0,2.0,4.0,2.0,0.5880310038190665
68.0,1.0,15.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,97.0,,,3.0,5.0,11.0,,,,,,,,,,,,3.0,97.0,,,1.0,2.0,1.0,18.0,4.0,3.0,6.0,4.0,2.0,1.2726284003768837
47.0,1.0,16.0,1.0,1.0,10.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,11.0,8.0,1.0,2.0,3.0,,,,,,,,,,,,,3.0,2.0,1.0,6.0,2.0,2.0,4.0,17.0,2.0,2.0,8.0,4.0,2.0,1.5158524791110042
59.0,2.0,16.0,2.0,3.0,7.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,99.0,6.0,2.0,8.0,1.0,3.0,5.0,,,,,,,,,,,,3.0,1.0,5.0,2.0,1.0,1.0,4.0,17.0,5.0,2.0,1.0,4.0,2.0,0.5460972044322688
18.0,1.0,14.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,9.0,5.0,3.0,4.0,7.0,8.0,12.0,13.0,,,,,,,,,,3.0,6.0,3.0,5.0,3.0,3.0,3.0,17.0,4.0,2.0,5.0,4.0,2.0,1.713485466770413
24.0,1.0,14.0,1.0,2.0,8.0,99.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,10.0,11.0,8.0,4.0,5.0,7.0,,,,,,,,,,,,2.0,3.0,1.0,6.0,1.0,2.0,2.0,17.0,5.0,5.0,4.0,4.0,2.0,3.9308624777510994
46.0,2.0,14.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,11.0,6.0,1.0,3.0,4.0,5.0,10.0,,,,,,,,,,3.0,1.0,2.0,6.0,1.0,1.0,2.0,17.0,5.0,4.0,7.0,4.0,2.0,1.3202796792253062
45.0,1.0,16.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,1.0,9.0,97.0,,,,,,,,,,,,,,3.0,4.0,3.0,1.0,1.0,2.0,1.0,17.0,2.0,2.0,8.0,4.0,2.0,1.3564019471295201
32.0,2.0,16.0,2.0,4.0,5.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,11.0,8.0,1.0,3.0,10.0,,,,,,,,,,,,3.0,3.0,6.0,1.0,1.0,1.0,1.0,17.0,6.0,4.0,2.0,4.0,2.0,0.8059757201804689
46.0,1.0,16.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,10.0,97.0,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,1.0,2.0,1.0,17.0,6.0,4.0,4.0,4.0,2.0,1.6357868926939643
60.0,2.0,16.0,1.0,2.0,7.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,3.0,5.0,10.0,11.0,,,,,,,,,,3.0,2.0,1.0,5.0,1.0,1.0,1.0,17.0,4.0,3.0,8.0,4.0,2.0,0.8147226010591
55.0,1.0,14.0,1.0,2.0,5.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,6.0,1.0,11.0,1.0,2.0,3.0,,,,,,,,,,,,3.0,2.0,1.0,4.0,1.0,2.0,4.0,16.0,4.0,3.0,2.0,4.0,2.0,0.3131105732833272
43.0,1.0,14.0,1.0,3.0,10.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,6.0,3.0,10.0,5.0,7.0,,,,,,,,,,,,,3.0,4.0,5.0,1.0,1.0,2.0,3.0,16.0,5.0,4.0,3.0,4.0,2.0,1.126367959103252
30.0,2.0,16.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,8.0,2.0,11.0,1.0,9.0,,,,,,,,,,,,,3.0,1.0,4.0,6.0,2.0,1.0,2.0,16.0,5.0,5.0,1.0,4.0,2.0,0.18176045020190468
62.0,2.0,11.0,2.0,3.0,10.0,3.0,1.0,4.0,3.0,4.0,1.0,3.0,99.0,4.0,4.0,7.0,6.0,5.0,3.0,4.0,5.0,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,2.0,16.0,5.0,99.0,3.0,4.0,2.0,1.029155261594271
40.0,1.0,16.0,1.0,3.0,6.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,6.0,2.0,3.0,4.0,,,,,,,,,,,,1.0,4.0,6.0,5.0,1.0,2.0,2.0,16.0,6.0,5.0,3.0,4.0,2.0,0.5747505582050653
23.0,2.0,16.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,11.0,8.0,1.0,2.0,3.0,5.0,9.0,11.0,13.0,,,,,,,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,16.0,99.0,2.0,8.0,4.0,2.0,0.5979773093827703
58.0,2.0,14.0,1.0,5.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,6.0,11.0,5.0,1.0,2.0,3.0,4.0,,,,,,,,,,,99.0,6.0,1.0,2.0,1.0,1.0,2.0,16.0,5.0,1.0,6.0,4.0,2.0,1.3894453435445417
21.0,2.0,15.0,1.0,5.0,10.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,6.0,2.0,2.0,7.0,10.0,,,,,,,,,,,,1.0,2.0,5.0,1.0,1.0,1.0,2.0,16.0,99.0,5.0,3.0,4.0,2.0,0.5859297620160323
23.0,2.0,16.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,8.0,2.0,3.0,,,,,,,,,,,,,,99.0,2.0,3.0,1.0,5.0,1.0,1.0,16.0,4.0,4.0,1.0,4.0,2.0,0.11126132787783226
39.0,2.0,15.0,2.0,4.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,7.0,4.0,3.0,4.0,10.0,13.0,,,,,,,,,,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,16.0,6.0,5.0,2.0,4.0,2.0,0.7706703040448596
51.0,2.0,14.0,2.0,4.0,10.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,10.0,3.0,5.0,10.0,11.0,13.0,,,,,,,,,,1.0,5.0,2.0,3.0,1.0,1.0,1.0,16.0,5.0,4.0,5.0,4.0,2.0,1.752841666657136
