IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P4F,P4G,P4H,P5_1,P5_2,P5_3,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P6_11,P6_12,P6_13,P6_98,P7,P8_1,P8_2,P8_3,P_ORIENT,P_IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND
41.0,1.0,15.0,2.0,2.0,2.0,2.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,6.0,2.0,11.0,1.0,,,,,,,,,,,,,,3.0,99.0,,,99.0,1.0,4.0,20.0,98.0,6.0,4.0,4.0,2.0,1.3631577614645485
29.0,1.0,10.0,1.0,6.0,9.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,7.0,3.0,8.0,4.0,,,,,,,,,,,,,,1.0,2.0,6.0,,3.0,5.0,4.0,20.0,5.0,5.0,7.0,4.0,1.0,1.2682815606909432
27.0,1.0,16.0,1.0,3.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,11.0,5.0,6.0,3.0,4.0,10.0,,,,,,,,,,,,99.0,2.0,4.0,1.0,1.0,2.0,4.0,20.0,3.0,3.0,8.0,4.0,2.0,0.6460558708099042
35.0,2.0,16.0,1.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,8.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,11.0,,,,,,99.0,1.0,3.0,2.0,1.0,1.0,4.0,20.0,5.0,3.0,1.0,4.0,2.0,0.21659987846690806
39.0,2.0,14.0,1.0,4.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,11.0,8.0,2.0,1.0,3.0,6.0,10.0,,,,,,,,,,,3.0,6.0,4.0,3.0,1.0,1.0,3.0,20.0,5.0,5.0,4.0,4.0,2.0,1.4111785233450416
31.0,2.0,16.0,1.0,5.0,6.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,11.0,1.0,1.0,5.0,6.0,10.0,,,,,,,,,,,3.0,1.0,6.0,4.0,1.0,1.0,3.0,20.0,5.0,5.0,7.0,4.0,2.0,0.8338210783613752
44.0,2.0,14.0,1.0,5.0,6.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,99.0,,,5.0,96.0,,,,,,,,,,,,,3.0,1.0,5.0,2.0,1.0,1.0,3.0,20.0,6.0,4.0,4.0,4.0,2.0,1.2367407778581032
27.0,1.0,16.0,1.0,4.0,7.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,10.0,6.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,,,,,,,,3.0,1.0,2.0,4.0,1.0,2.0,3.0,20.0,5.0,1.0,3.0,4.0,2.0,0.953781266702386
22.0,2.0,16.0,2.0,3.0,4.0,99.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,10.0,2.0,97.0,,,,,,,,,,,,,,3.0,4.0,,,1.0,1.0,3.0,20.0,98.0,4.0,6.0,4.0,2.0,1.1727993346375738
25.0,1.0,15.0,1.0,5.0,10.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,11.0,1.0,1.0,4.0,,,,,,,,,,,,,1.0,4.0,2.0,3.0,1.0,2.0,3.0,20.0,6.0,6.0,5.0,4.0,2.0,1.1815977401896498
