IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4_1,P4_2,P4_3,P5,P6A,P6B,P6C,P6D,P6E,P6F,P6G,P7_1,P7_2,P7_3,P8A,P8B,P8C,P8D,P8E,P8F,P8G,P9_1,P9_2,P9_3,P10,P11A,P11B,P11C,P11D,P11E,RAÇA_COR,RELIGIAO,REND1,REND2,TIPO_COLETA,AMOSTRA,REGIAO,FATOR_POND,ID
56.0,1.0,14.0,1.0,5.0,2.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,4.0,98.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,2.0,1.0,0.4243929418999913,150190367.0
65.0,1.0,14.0,2.0,5.0,2.0,2.0,2.0,8.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,0.5351092862239182,150201198.0
31.0,2.0,15.0,1.0,2.0,2.0,1.0,1.0,7.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,7.0,98.0,99.0,1.0,4.0,2.0,1.0,1.0,19.0,5.0,4.0,4.0,2.0,4.0,1.0455967054037711,150202874.0
62.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,4.0,4.0,2.0,5.0,1.458909497341315,150205230.0
26.0,2.0,15.0,1.0,4.0,2.0,1.0,1.0,4.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,99.0,1.0,2.0,1.0,1.0,3.0,19.0,4.0,4.0,4.0,2.0,2.0,0.6845067909188847,150207146.0
31.0,2.0,16.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,8.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,8.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,19.0,98.0,6.0,4.0,2.0,8.0,0.6321944840785221,150227698.0
37.0,1.0,15.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,15.0,6.0,5.0,4.0,2.0,3.0,0.5991943923336189,150227772.0
32.0,1.0,16.0,1.0,1.0,2.0,1.0,2.0,99.0,,,98.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,98.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,,,98.0,2.0,2.0,2.0,2.0,2.0,1.0,99.0,99.0,99.0,4.0,2.0,8.0,0.752708724181372,150227947.0
44.0,1.0,13.0,2.0,6.0,3.0,98.0,98.0,9.0,,,1.0,2.0,99.0,1.0,99.0,3.0,3.0,2.0,98.0,,,3.0,2.0,3.0,3.0,3.0,3.0,2.0,98.0,,,98.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,99.0,4.0,2.0,3.0,0.48252505997777945,150227955.0
59.0,1.0,15.0,1.0,3.0,2.0,1.0,1.0,8.0,2.0,9.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,8.0,,2.0,4.0,1.0,3.0,2.0,1.0,1.0,15.0,99.0,99.0,4.0,2.0,4.0,1.689717788350806,150228003.0
