IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P3,P4,P5_1,P5_2,P5_3,P_PCD_1,P_PCD_2,P_PCD_3,ORIENT,IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,AMOSTRA,FATOR_POND,ID,TIPO_COLETA
47.0,4.0,1.0,12.0,2.0,5.0,5.0,,8.0,10.0,6.0,2.0,,,1.0,2.0,1.0,1.0,99.0,6.0,5.0,2.0,1.0192290740249892,161292230.0,4.0
35.0,3.0,1.0,14.0,1.0,4.0,5.0,,1.0,8.0,4.0,2.0,,,1.0,2.0,1.0,20.0,5.0,4.0,5.0,2.0,3.1066848271809624,161292231.0,4.0
33.0,2.0,2.0,14.0,2.0,4.0,5.0,1.0,3.0,7.0,1.0,4.0,,,1.0,1.0,3.0,11.0,5.0,5.0,5.0,2.0,1.44750935561198,161292232.0,4.0
72.0,5.0,1.0,8.0,2.0,5.0,3.0,,4.0,1.0,2.0,1.0,,,1.0,2.0,3.0,1.0,4.0,4.0,5.0,2.0,1.0965254548672,161292233.0,4.0
63.0,5.0,1.0,11.0,1.0,5.0,5.0,,10.0,7.0,6.0,4.0,,,1.0,2.0,1.0,99.0,6.0,6.0,5.0,2.0,1.8136513147131847,161292234.0,4.0
35.0,3.0,2.0,14.0,1.0,5.0,97.0,1.0,8.0,3.0,6.0,4.0,,,99.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,0.7240788110624651,161292235.0,4.0
36.0,3.0,2.0,14.0,1.0,5.0,1.0,1.0,6.0,3.0,5.0,2.0,,,1.0,1.0,2.0,19.0,6.0,6.0,5.0,2.0,0.7240788110624651,161292236.0,4.0
20.0,1.0,1.0,14.0,2.0,5.0,5.0,,5.0,2.0,7.0,4.0,,,1.0,2.0,1.0,11.0,98.0,5.0,5.0,2.0,0.9339083944867675,161292237.0,4.0
28.0,2.0,1.0,16.0,1.0,4.0,3.0,,3.0,7.0,6.0,4.0,,,3.0,2.0,2.0,1.0,5.0,4.0,6.0,3.0,0.6462502799540961,161292738.0,4.0
48.0,4.0,1.0,14.0,1.0,4.0,2.0,,5.0,2.0,6.0,4.0,,,1.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,0.5343928073863287,161294260.0,4.0
42.0,3.0,2.0,13.0,1.0,4.0,96.0,1.0,6.0,2.0,4.0,4.0,,,1.0,1.0,1.0,10.0,4.0,4.0,3.0,3.0,0.4474310151726325,161294364.0,4.0
46.0,4.0,1.0,11.0,1.0,4.0,5.0,,6.0,2.0,4.0,4.0,,,1.0,2.0,3.0,1.0,4.0,4.0,4.0,3.0,0.8697583098988694,161294402.0,4.0
25.0,2.0,2.0,16.0,1.0,4.0,5.0,1.0,7.0,3.0,9.0,4.0,,,2.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,0.22879953264065156,161294837.0,4.0
37.0,3.0,2.0,12.0,1.0,4.0,3.0,1.0,6.0,5.0,9.0,3.0,,,1.0,1.0,3.0,19.0,98.0,5.0,4.0,3.0,1.291439197646093,161295284.0,4.0
61.0,5.0,2.0,11.0,1.0,4.0,3.0,3.0,6.0,9.0,5.0,4.0,,,1.0,1.0,1.0,15.0,6.0,6.0,3.0,3.0,0.641634332959532,161295405.0,4.0
29.0,2.0,2.0,16.0,1.0,4.0,2.0,3.0,1.0,6.0,2.0,4.0,,,1.0,1.0,1.0,1.0,6.0,6.0,4.0,3.0,0.9365089386083099,161295483.0,4.0
39.0,3.0,2.0,14.0,1.0,4.0,5.0,1.0,6.0,7.0,2.0,4.0,,,1.0,1.0,2.0,16.0,6.0,6.0,8.0,3.0,0.623112923494985,161296829.0,4.0
26.0,2.0,2.0,15.0,1.0,4.0,5.0,1.0,6.0,10.0,3.0,3.0,,,1.0,1.0,1.0,19.0,4.0,4.0,2.0,3.0,0.5095818214765889,161298601.0,4.0
30.0,2.0,2.0,16.0,1.0,4.0,3.0,3.0,7.0,10.0,2.0,4.0,,,1.0,1.0,3.0,1.0,4.0,4.0,8.0,3.0,0.6323587564721384,161298650.0,4.0
56.0,4.0,1.0,16.0,2.0,4.0,5.0,,99.0,,,4.0,,,2.0,2.0,3.0,99.0,99.0,6.0,2.0,3.0,0.26422627813462946,161298850.0,4.0
41.0,3.0,2.0,13.0,1.0,4.0,3.0,1.0,6.0,5.0,2.0,4.0,,,1.0,1.0,3.0,19.0,99.0,99.0,5.0,3.0,0.7468532554819446,161299017.0,4.0
62.0,5.0,1.0,16.0,2.0,4.0,97.0,,97.0,,,98.0,,,1.0,2.0,1.0,1.0,99.0,99.0,6.0,3.0,1.9247749657585804,161300117.0,4.0
57.0,4.0,1.0,16.0,1.0,4.0,5.0,,5.0,6.0,7.0,4.0,,,1.0,2.0,1.0,15.0,5.0,5.0,4.0,3.0,0.826586997030591,161302148.0,4.0
30.0,2.0,1.0,16.0,1.0,4.0,96.0,,3.0,9.0,5.0,1.0,,,2.0,5.0,1.0,6.0,3.0,2.0,4.0,3.0,1.383507411992299,161313242.0,4.0
37.0,3.0,2.0,16.0,2.0,4.0,3.0,99.0,7.0,2.0,9.0,4.0,,,1.0,1.0,1.0,11.0,98.0,6.0,4.0,3.0,1.926112995095132,161315811.0,4.0
34.0,2.0,2.0,16.0,1.0,4.0,3.0,1.0,6.0,2.0,7.0,3.0,,,1.0,1.0,2.0,8.0,99.0,99.0,4.0,3.0,0.9365089386083099,161316656.0,4.0
64.0,5.0,1.0,8.0,1.0,4.0,3.0,,3.0,10.0,9.0,4.0,,,1.0,2.0,1.0,10.0,99.0,5.0,5.0,3.0,1.8706960734220393,161317498.0,4.0
26.0,2.0,1.0,16.0,1.0,4.0,5.0,,5.0,6.0,2.0,4.0,,,1.0,2.0,2.0,1.0,5.0,3.0,5.0,3.0,1.0668979028241055,161317666.0,4.0
28.0,2.0,2.0,16.0,1.0,4.0,5.0,1.0,6.0,7.0,9.0,4.0,,,1.0,1.0,1.0,1.0,5.0,4.0,8.0,3.0,0.6323587564721384,161320046.0,4.0
37.0,3.0,1.0,16.0,1.0,4.0,5.0,,7.0,9.0,10.0,4.0,,,1.0,2.0,3.0,20.0,4.0,4.0,1.0,3.0,0.1758145176656553,161320092.0,4.0
48.0,4.0,2.0,12.0,1.0,4.0,3.0,1.0,5.0,9.0,2.0,1.0,,,1.0,1.0,3.0,16.0,6.0,6.0,6.0,3.0,0.8303641926054529,161320247.0,4.0
25.0,2.0,1.0,16.0,2.0,4.0,5.0,,4.0,5.0,6.0,4.0,,,2.0,2.0,3.0,1.0,98.0,4.0,1.0,3.0,0.24133797737077395,161320614.0,4.0
29.0,2.0,2.0,16.0,1.0,4.0,5.0,1.0,7.0,3.0,6.0,4.0,,,3.0,1.0,1.0,1.0,6.0,4.0,8.0,3.0,0.6323587564721384,161320944.0,4.0
59.0,4.0,1.0,14.0,1.0,4.0,3.0,,6.0,2.0,4.0,4.0,,,1.0,2.0,1.0,1.0,4.0,4.0,5.0,3.0,1.7388267807490565,161321036.0,4.0
38.0,3.0,1.0,16.0,2.0,4.0,5.0,,1.0,2.0,6.0,4.0,,,1.0,2.0,3.0,1.0,6.0,5.0,5.0,3.0,1.118537719137979,161321296.0,4.0
41.0,3.0,2.0,16.0,1.0,4.0,97.0,3.0,99.0,,,98.0,,,99.0,1.0,2.0,4.0,99.0,99.0,4.0,3.0,1.6227521564867433,161321813.0,4.0
45.0,4.0,1.0,13.0,1.0,4.0,5.0,,7.0,10.0,5.0,98.0,,,1.0,2.0,3.0,1.0,98.0,99.0,5.0,3.0,1.7388267807490565,161323539.0,4.0
