IDADE,FX_IDADE,SEXO,p1,p901a,p901b,p901c,p901d,p901e,p901f,p901g,p901h,p901i,p901j,p901k,p901l,p901m,p901n,p901o,p901p,p901q,p901r,p901s,p901t,p906,pea,carro,empreg,maqlav,dvd,banhe,gelad,freezer,comput,lavlou,microon,motocic,secadora,agua,rua,escola,escolac,CLASSE2,RCLASSE2,rendaf,cor,METROP,REGIAO,PESO,nquest
40.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,96.0,4.0,96.0,96.0,1.0,96.0,2.0,1.0,1.0,96.0,1.0,96.0,1.0,96.0,1.0,1.0,5.0,5.0,27.0,4.0,1.0,2.0,1.0,3.0,0.38916278177161207,185715859.0
26.0,2.0,2.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,2.0,1.0,5.0,13.0,6.0,1.0,2.0,3.0,3.0,1.67302643963355,185715864.0
67.0,5.0,2.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,99.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,12.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,2.0,16.0,6.0,9.0,1.0,3.0,1.0,1.5684627228805033,185715894.0
18.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,2.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,1.0,4.0,8.0,96.0,96.0,1.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,2.0,16.0,6.0,1.0,3.0,1.0,3.0,1.0172369277606108,185715895.0
19.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,1.0,3.0,13.0,1.0,96.0,1.0,1.0,3.0,1.0,96.0,2.0,96.0,1.0,96.0,1.0,1.0,1.0,5.0,5.0,38.0,2.0,4.0,1.0,3.0,1.0,0.7837723129855672,185715905.0
43.0,3.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,96.0,1.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,30.0,3.0,3.0,1.0,1.0,3.0,1.0933444526285512,185715967.0
25.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,4.0,5.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,5.0,3.0,10.0,2.0,96.0,1.0,96.0,2.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,98.0,2.0,5.0,5.0,23.0,4.0,9.0,3.0,3.0,3.0,1.1505062462412687,185715969.0
50.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,3.0,10.0,2.0,96.0,1.0,96.0,3.0,2.0,1.0,2.0,96.0,1.0,1.0,96.0,1.0,1.0,5.0,7.0,44.0,2.0,4.0,1.0,2.0,1.0,1.514808465329914,185716005.0
65.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,5.0,12.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,2.0,16.0,6.0,9.0,1.0,2.0,1.0,0.9669923755962365,185716031.0
61.0,5.0,2.0,1.0,5.0,3.0,4.0,5.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,11.0,96.0,96.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,2.0,15.0,6.0,9.0,98.0,3.0,3.0,1.4002301936084718,185716132.0
