IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2_1,P2_2,P2_3,P3,P4_1,P4_2,P4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,P7E,P8,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P11_1,P11_2,P11_3,P12,P_RACA,P_RELIGIAO,REND1,REND2,REGIAO,FATOR_POND,TIPO_COLETA,AMOSTRA,ID
28.0,2.0,1.0,16.0,1.0,4.0,2.0,2.0,4.0,8.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,,,,3.0,5.0,2.0,4.0,1.0,,,,4.0,5.0,2.0,2.0,4.0,20.0,3.0,3.0,1.0,0.1766731311241027,4.0,3.0,161231383.0
24.0,1.0,2.0,15.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,5.0,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,7.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,6.0,,,,5.0,6.0,8.0,1.0,,,,,2.0,9.0,8.0,1.0,4.0,19.0,5.0,5.0,3.0,0.8533192506333327,4.0,3.0,161232916.0
36.0,3.0,1.0,16.0,1.0,4.0,2.0,1.0,4.0,5.0,1.0,2.0,3.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,5.0,3.0,,,,4.0,6.0,3.0,,,,,,2.0,5.0,1.0,2.0,2.0,19.0,4.0,4.0,2.0,0.36407454490996727,4.0,3.0,161235923.0
54.0,4.0,1.0,16.0,2.0,4.0,1.0,5.0,7.0,9.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,3.0,6.0,,,,,,2.0,9.0,3.0,1.0,3.0,4.0,5.0,3.0,7.0,0.7611367575781881,4.0,3.0,161237783.0
45.0,4.0,1.0,14.0,2.0,4.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0,,,,3.0,2.0,1.0,,,,,,9.0,5.0,2.0,1.0,3.0,19.0,4.0,4.0,7.0,0.7644392278633839,4.0,3.0,161241125.0
39.0,3.0,1.0,16.0,1.0,4.0,1.0,1.0,5.0,8.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,6.0,,,1.0,7.0,8.0,6.0,5.0,2.0,,,3.0,9.0,5.0,2.0,1.0,1.0,4.0,3.0,8.0,0.40354845797627786,4.0,3.0,161243288.0
38.0,3.0,1.0,15.0,1.0,4.0,2.0,4.0,5.0,6.0,3.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,7.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,,,,,,5.0,6.0,4.0,,,,,,2.0,5.0,6.0,1.0,3.0,99.0,4.0,4.0,4.0,1.2926205172055545,4.0,3.0,161254462.0
28.0,2.0,2.0,16.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,6.0,,,6.0,1.0,2.0,4.0,3.0,,,,2.0,1.0,5.0,2.0,3.0,19.0,4.0,4.0,8.0,0.6323587564721384,4.0,3.0,161257209.0
22.0,1.0,1.0,16.0,1.0,4.0,1.0,3.0,4.0,,1.0,1.0,,,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,4.0,2.0,3.0,1.0,1.0,3.0,6.0,,,,,,5.0,,,,,,,,6.0,4.0,2.0,1.0,1.0,2.0,6.0,6.0,4.0,2.2158920485074427,4.0,3.0,161258702.0
44.0,3.0,1.0,16.0,1.0,4.0,2.0,1.0,2.0,5.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,8.0,1.0,1.0,1.0,2.0,4.0,6.0,5.0,1.0,,,,,4.0,3.0,,,,,,,1.0,4.0,8.0,1.0,2.0,1.0,6.0,6.0,4.0,1.2926205172055545,4.0,3.0,161259620.0
